Protein_ID	Accession	Source	Comments
9	-----	-----	[{'comment': '#9# isoform RBCK1 <8>'}, {'comment': '#9# isoform RBCK1 <8>'}]
13	-----	-----	[{'comment': '#13# isoform rrf-1 <7>'}, {'comment': '#13# isoform rrf-1 <7>'}]
35	Q6VPR1	uniprot	-----
38	Q00055	uniprot	-----
40	O22216	uniprot	-----
42	A8W1U0	uniprot	-----
43	C5H3W1	uniprot	-----
44	C5H3W0	uniprot	-----
45	B4XU24	uniprot	-----
46	B4XU25	uniprot	-----
47	D2XN65	uniprot	-----
48	A5Z0R9	uniprot	-----
49	P21695	uniprot	-----
51	A0A140JW76	uniprot	-----
52	A0A140JW77	uniprot	-----
53	Q949Q0	uniprot	-----
54	P08507	uniprot	-----
55	A0A0B5KTL4	uniprot	-----
56	A0A0B5KYA7	uniprot	-----
57	A0A060KZ16	uniprot	-----
58	Q52ZA0	uniprot	-----
59	V9MH41	uniprot	-----
60	P13706	uniprot	-----
61	B4FVR2	uniprot	-----
62	B4FA85	uniprot	-----
63	B4FZV9	uniprot	-----
64	A0A1D6HW80	uniprot	-----
65	P13707	uniprot	-----
66	A0A345VNI9	uniprot	-----
