Protein_ID	Accession	Source	Comments
8	-----	-----	[{'comment': '#8# isoform Decr1 <7>'}, {'comment': '#8# isoform Decr1 <7>'}]
9	-----	-----	[{'comment': '#9# isoform CysM <6>; #9# isoform DAHPS(Phe) <6>'}, {'comment': '#9# isoform CysM <6>; #9# isoform DAHPS(Phe) <6>'}]
30	P39714	uniprot	-----
31	E7EKB8	uniprot	-----
32	F1T242	uniprot	-----
34	A0A0E4A9D6	uniprot	-----
35	A0A075BZ18	uniprot	-----
36	F8TEL7	uniprot	-----
37	A0A223LRZ7	uniprot	-----
38	O34788	uniprot	-----
39	A0A3Q8GZQ4	uniprot	-----
40	O34788	uniprot	-----
41	A0A7G4NVP1	uniprot	-----
42	A0A7G4NVP2	uniprot	-----
43	S6FPW0	uniprot	-----
44	Q9HWM8	uniprot	-----
45	A0A0F6FX23	uniprot	-----
